,pct_lt_18,pct_65_and_over,pct_alcoholimpaired,hosp_pp_rate,pct_female,pct_free_or_reduced_lunch,pct_hispanic,pct_good_air,pop_dens,pct_long_commute_drives_alone,chronic_kidney_disease_pct,pct_nonhispanic_white,pct_physically_inactive,pct_rural,chronic_kidney_disease_std_spend,pct_severe_housing_cost_burden,pct_some_college,pct_unemployed,pct_uninsured,diabetes_pct,diabetes_std_spend,pct_lack_basic_literacy,average_daily_pm2.5,budget_air,budget_disease,budget_emergency,budget_environmental,budget_health_equity,budget_health_svcs,budget_laboratory_svcs,budget_planning,budget_prevention,budget_water,pct_food_insecure,diab_hosp_rate_adj,pct_limited_access,fips,county,state,graduation_rate,life_expectancy,mds_dos_pp_rate,mentally_unhealthy_days,inadequate_facilities,overobese_pct,mhp_rate,overcrowding,pcp_rate,preventable_hosp._rate,pct_adult_uninsured,sdoh_score_1,sdoh_score_2,sdoh_score_3,sdoh_score_4,sdoh_score_5,sdoh_score_6,teen_birth_rate,violent_crime_rate,ann_avg_job_growth_2004_2013,pct_staying_in_same_tract_as_adults_rp_gp_pall,race_estimate_total_american_indian_and_alaska_native_alone,race_estimate_total_asian_alone,race_estimate_total_black_or_african_american_alone,race_estimate_total_native_hawaiian_and_other_pacific_islander_alone,race_estimate_total_some_other_race_alone,race_estimate_total_two_or_more_races,race_estimate_total_white_alone,pct_only_english,median_income,gini_index_of_income_inequality_estimate_gini_index,association_rate,med_2br_rent_per_med_inc,walk_score,diabetes_incidence_2016,diabetes_prevalence_2016,obesity_prevalence_2016,diabetes_incidence_5_year_diff,diabetes_prevalence_5_year_diff,obesity_prevalence_5_year_diff
0,18.802966102,27.145127119,18.181818182,0.0,47.695974576000005,83.402489627,62.208686441000005,0.0,2.9,25.3,16.7197,33.156779661,19.6,100.0,16378.223125,16.46385111,52.512998267,3.5480349345,14.732479277000001,19.4268,10813.013642,25.0,4.2,0.0,0.0,13.042155012101533,10.429672100065597,0.0,4.691231718666269,0.0,9.41643364875993,0.0,62.42050752040667,8.1,1664.07,49.231556906,8023,Costilla County,CO,92.30769230799999,77.746585795,0.0,4.3779884309,4.4673539519,71.8,26.48305,0.9621993127,70.3505831147541,2730.0,17.497456765,0.3014712965931382,0.4887275340558583,0.7005517567879654,0.3522713918009213,0.0,0.1816236987934466,32.307692308,226.24434389,1.7328568,22.62,1.460859977949283,1.4884233737596473,0.35832414553472997,0.0,1.846747519294377,3.1146637265711137,91.73098125689086,53.71709574775817,29000.0,0.5199,5.3748992206,23.04827586206897,35.0,20.3,18.2,37.4,11.9,10.2,9.4
1,26.908759915,10.102212585,32.188841202,9.768143349457283e-06,49.510202378,53.479784842,40.046545183,54.52,378.2,45.1,24.1094,50.146571615,18.0,3.6204464191,22046.150059,14.538989332,56.641970711000006,3.0554683852,11.962599502,23.9884,15922.777521,14.000000000000002,9.2,0.08633794040556156,0.0,0.029845001081201493,0.2800455934786073,0.42603739043415145,0.4182873068756097,12.38027648800303,0.0,5.892124467621971,75.67248207234833,8.1,1717.27,5.626211316900001,8001,Adams County,CO,75.098273799,79.15769188899999,1.1721772019348738e-05,3.5140661337,0.5682180936,66.6,314.60728,4.9894656196,42.75503,3250.0,14.947970527,0.5408637046730235,0.0,0.3757929699377884,0.7809646081594571,0.5321578946780446,0.10635296324168098,30.353612593,372.42750473,1.6261956000000002,18.35,1.197704212360357,3.908373475453522,3.2143076765399203,0.12380854770933687,5.172696525571387,3.4893922312186123,82.89371733114686,71.41178531126053,64087.0,0.4058,4.4762308129,19.423425031597677,61.0,9.0,8.9,29.8,-0.4,0.4,3.2
2,26.527370479000002,18.927174976,16.666666667,0.00012195121951219512,49.670087977,60.395408163,52.113880743,0.0,6.4,31.7,17.7756,44.94134897399999,19.5,100.0,22630.250448,11.63115613,60.691271236000006,4.2091836735,9.2276984493,24.5283,12932.462032,21.0,4.4,0.0,0.0,22.170252632095337,15.665279595722387,0.0,22.863018276143602,9.335214156087373,17.4891669260191,0.0,12.15107276340783,7.3,1583.26,2.7094259371,8021,Conejos County,CO,89.18918918899998,76.061112851,0.0,4.0715804443,0.3389830508,62.7,24.43793,3.1525423729,61.50818,2827.0,11.146280805,0.4751912331378843,0.6587829635462256,0.5270329236964438,0.901105455897537,0.2850199828823132,0.5773864736522207,32.200357782,44.952478808,-0.92682373,28.52,2.0498342948324537,0.07364674113170491,0.4787038173560821,0.12274456855284155,4.688842518718546,1.927089726279612,90.65913833312875,66.45067442475535,35657.0,0.4386,6.1508180588,17.806505426704433,76.0,11.2,11.0,33.6,3.1,3.6,9.9
3,14.115716044000001,30.960196963,0.0,0.0,48.522773902,48.525469169,5.6421830119,0.0,5.8,29.8,12.0308,90.213377103,18.7,100.0,12467.31529,17.084942085,64.41717791399999,3.0272952854,12.105088128,13.1858,7969.5650323,7.000000000000001,4.2,0.0,0.0,19.102019384686745,11.470504717958589,0.0,0.0,0.0,13.055054831419305,0.0,13.555936477622593,14.1,707.07,6.5990089389,8027,Custer County,CO,86.956521739,78.339128653,0.00020185708518369,3.6674754286,2.2556390977,56.39999999999999,41.03406,3.2581453634,43.45937,1728.0,12.873369794,0.4956159755024818,0.5022382109798081,0.6407267900223849,0.5600953380830546,0.6008085089951062,0.2774064060613572,19.53125,125.15644556,-0.7329295400000001,15.55,0.9544950055493896,0.0,2.486126526082131,0.06659267480577137,0.6215316315205327,2.6637069922308543,93.2075471698113,93.38218456606369,41330.0,0.4331,28.248587570999998,19.627389305589162,7.0,7.4,7.7,38.1,-0.699999999999999,0.2,12.2
4,26.606103806,11.386851735,38.823529412,1.166942843139543e-05,50.113779045,11.621096624000002,8.7140134626,59.07,339.7,42.3,19.9008,82.578534383,9.6,10.287425779,20652.365081,9.498727690099999,88.53945318,2.3905534669,3.6564112649,16.8176,14695.448658,4.0,7.0,0.033050766567941384,1.3474337519829815,1.6334949282890805,2.6311636103005207,15.267846150727545,0.0,9.27553777814872,0.010819100420333941,0.0,54.51891532454834,8.3,864.65,1.7455362127,8035,Douglas County,CO,90.43345008799999,83.97351893,1.166942843139543e-05,2.9316980071,0.3329883454,56.7,100.20907,0.9899653512,68.46564000000001,2721.0,4.3400695905,0.9221186111974632,0.5272079094691496,0.5516973241707911,0.6631076562618369,0.5631391483949878,0.3729907105218797,4.7001097553,113.61496356,1.9968245,11.9,0.2539415467065495,4.4114164641365985,1.1858914438835921,0.06138218981741135,1.3955879603664236,3.0111547329718946,89.68062566211754,90.72951255146765,111154.0,0.3986,6.0858346114,14.663134390125412,8.0,5.2,5.5,21.3,-0.3,0.0999999999999996,3.5
5,22.228510918,10.839480025999999,29.032258065,1.818413252595785e-05,47.007595122,40.864227250999996,29.701307236999998,0.0,31.0,30.0,9.4432,67.059811583,9.3,19.983907120999998,20975.116551,14.939689833,70.458777721,2.3165582563,12.873053965999999,8.8631,12606.349467,13.0,4.2,0.11914284559939445,0.0,5.871009844158678,1.6537467662191585,0.0,0.5271900449135929,6.272873346269412,6.672531804988699,0.0,68.74846351329539,7.1,395.76,4.1579162517000015,8037,Eagle County,CO,70.766129032,89.74766171600002,3.6368265051915706e-05,3.0611992407,1.2331838565,45.5,153.36302999999995,3.615470852,79.64585,1688.0,14.432454583,0.634314989164088,0.8372875766742786,0.43394533224563664,0.7802358840957092,0.6348922550245879,0.12595890544334887,19.542661428,144.27581038,1.5238888000000002,20.05,0.4280981275360161,0.8710866247254587,0.8580575512787104,0.08748092171388153,7.195771135018426,1.6863343632505676,88.87317127647694,72.11856190268902,83803.0,0.4329,8.3350312101,19.049965275706125,58.0,3.8,4.1,16.3,-2.7,-2.2,1.1
6,21.123682181,13.383903317,0.0,0.00012781186094069528,46.01439958899999,60.890609874,36.153252764,0.0,19.4,46.6,15.0943,60.259706866,14.7,31.067031464,18180.544083,10.215736041,53.076601088000004,2.1559923906,12.068965517,14.8041,14388.693083000002,19.0,3.9,0.0,0.0,4.128030862213309,1.705316202726704,0.0,21.829034328203587,0.0,4.904921608622129,20.213738141430106,44.53267077791799,8.7,840.53,7.884144429299999,8065,Lake County,CO,54.666666667,80.55961494,0.0,3.5303679182,0.0,61.1,51.4271,3.4710743802,78.76083,1361.0,13.97043936,0.581780742457668,0.6758287047613499,0.15766411368167615,0.7068199116563457,0.5719619637019968,0.4119421025558031,35.003431709000004,201.54517971,1.2872895,26.67,0.3074455286726373,0.6416254511428954,0.12030477208929287,0.4678518914583612,9.223365860179117,1.1495789332976876,88.08982756316,81.01994942399551,46176.0,0.4092,13.126804936,19.47877053014553,71.0,13.9,13.0,33.0,6.2,5.7,8.6
7,19.120689345,16.472683445,42.222222222,3.5517670040845316e-05,49.547572361,33.23491656,12.833474249000002,65.75,30.3,27.2,17.3429,78.57309899399999,11.7,59.94857209600001,15617.062624,13.456602339000002,76.332288401,2.4500993284,10.329271798999999,13.1344,11661.452692,7.000000000000001,5.0,0.16772530189795667,0.07886408736369276,3.8791090007333695,11.46156576525614,0.0,0.8365091664722429,7.30540028557443,7.3525543852345825,6.675980326110508,59.300482043484834,11.1,661.02,4.3927139194,8067,La Plata County,CO,83.261802575,82.005741501,1.7758835020422655e-05,3.5792569986,0.7204276086,48.9,368.778,1.8126888218,107.86905,1807.0,11.593867515,0.6871136125608257,0.756256412554779,0.5512625366128725,0.6127884185345076,0.3952330879766998,0.2755914166694501,14.844582957,174.58228218,0.31545404,20.36,5.924470799904532,0.6352237052268264,0.5030384255264462,0.04956947988764252,1.8652811691053623,2.3499605280067564,88.67245589234243,88.83213373577897,62533.0,0.4364,10.607122953,18.50563843090848,38.0,5.8,6.0,21.8,-1.3,-0.5,1.7
8,25.809153911,14.835122990999999,33.333333333,7.582650894752806e-05,48.56446576800001,44.434429923,15.70329754,79.15,2.9,22.8,13.7117,80.412763689,19.9,27.357738311,21339.416825,10.301810865,51.230101302,3.3220338983,9.8140865213,21.301,11063.644271,11.0,4.3,1.7236998405708919,0.0,0.0,0.0,1.059772042631255,0.0,0.0,12.367995850363602,0.0,81.07093072138372,11.2,1459.61,8.314667074299999,8081,Moffat County,CO,81.35593220300001,79.871802039,7.582650894752806e-05,3.3766880322,0.6018054161999999,61.6,152.31132,1.9859578736,45.77008,4036.0,11.536511156,0.6316406249030031,0.640531241445045,0.30566965627485243,0.5868878510548301,0.490111848638603,0.1859376225368676,42.63138552,159.08738165,-0.47492152,21.8,0.5974264705882354,0.17616421568627452,0.9650735294117648,0.5897671568627451,0.9497549019607844,1.853553921568628,94.86825980392156,89.32419196865818,53010.0,0.424,11.442520406,15.024427843803055,67.0,10.9,10.7,32.6,2.3,2.7,1.6
9,15.231973169000002,18.468418111,16.666666667,5.571030640668524e-05,47.95416433800001,11.095571095999999,10.139742873,100.0,17.7,19.8,16.8905,85.679150363,10.8,44.203405645,21596.128679,15.99546228,77.353342428,3.0910079768000003,12.054664127999999,18.44201481481481,10723.28,6.0,4.0,0.1807738360200533,0.0,4.926374626285577,2.947908325952357,0.0,0.8473138614015963,14.112014888991293,11.519354540793495,0.0,40.21853066777084,11.7,207.62,1.7181700193,8097,Pitkin County,CO,92.80575539600001,92.918755408,0.0,3.1420890265,1.6380449141,36.6,313.02404,1.9154557464,73.23119,1066.0,12.621035058,0.7677697709516037,0.8998078669551601,0.5514726766135084,0.5945016367311667,0.4517867027240595,0.17193179175752168,3.895184136,62.071495077,-0.08776208900000003,19.1,0.1859469206062997,1.3861497717924156,1.5270186510396124,0.0,3.7076689017862168,1.5382881613793882,91.65492759339607,85.95922696205515,67755.0,0.5759,19.716088327999998,26.732565862297978,84.0,2.9,3.2,18.7,-3.2,-3.0,1.9
